school,slug,nickname,state,field,head_coach,conference,world_series_appearances,titles
"Southeast Missouri State University
(Southeast Missouri or SEMO)",,Redhawks,Missouri,Southeast Softball Complex,Lana Richmond,Ohio Valley,None,None
Southeastern Louisiana University,,Lions,Louisiana,North Oak Park,Rick Fremin,Southland,None,None
"Southern Illinois University Carbondale
(Southern Illinois)",SIUC273,Salukis,Illinois,Charlotte West Stadium,Kerri Blaylock,Missouri Valley,"1970, 1971, 1977, 1978[2]",None
"Southern Illinois University Edwardsville
(SIU Edwardsville or SIUE)",SIUE274,Cougars,Illinois,Cougar Field,Sandy Montgomery,Ohio Valley,None,None
Southern University,,Lady Jaguars,Louisiana,Lady Jaguar Field,John Garris,SWAC,None,None
Southern Utah University,,Thunderbirds,Utah,Kathryn Berg Field,Tom Gray,Big Sky,None,None
St. Bonaventure University,,Bonnies,New York,St. Bonaventure Softball Diamond,Mike Threehouse,Atlantic 10,None,None
St. John's University,,Red Storm,New York,Red Storm Field,Amy Kvilhaug,Big East,None,None
Stanford University,,Cardinal,California,Boyd & Jill Smith Family Stadium,Rachel Hanson,Pac-12,"2001, 2004",None
"State University of New York at Binghamton
(Binghamton)",,Bearcats,New York,Varsity Field,Michelle Burrell,America East,None,None
"State University of New York at Stony Brook
(Stony Brook)",,Seawolves,New York,University Field,Megan Bryant,America East,None,None
Stephen F. Austin State University,,Ladyjacks,Texas,SFA Softball Field,Nicole Dickson,Southland,1978[2],None
Stetson University,,Hatters,Florida,Patricia Wilson Field,Frank Griffin,ASUN,None,None
Syracuse University,,Orange,New York,Skytop Softball Stadium,Mike Bosch,ACC,None,None
Tennessee State University,,Lady Tigers,Tennessee,Tiger Field,Tom Opdenbrouw,Ohio Valley,None,None
"Tennessee Technological University
(Tennessee Tech)",,Golden Eagles,Tennessee,Tennessee Tech Softball Field,Bonnie Bynum,Ohio Valley,None,None
Texas A&M University,,Aggies,Texas,Aggie Softball Complex,Jo Evans,SEC,"1979, 1980, 1981, 1982 (AIAW),[2] 1983, 1984, 1986, 1987, 1988, 2007, 2008","1982 (AIAW), 1983, 1987"
