school,team,city,state,state_abbr,type,conference,division
University of Alabama,Crimson Tide,Tuscaloosa,Alabama,AL,State,Southeastern Conference,D1
Alabama Agricultural and Mechanical University,Bulldogs and Lady Bulldogs,Huntsville,Alabama,AL,State,Southwestern Athletic Conference,D1
University of Alabama at Birmingham,Blazers,Birmingham,Alabama,AL,State,Conference USA,D1
Alabama State University,Hornets and Lady Hornets,Montgomery,Alabama,AL,State,Southwestern Athletic Conference,D1
Auburn University,Tigers,Auburn,Alabama,AL,State,Southeastern Conference,D1
Jacksonville State University,Gamecocks,Jacksonville,Alabama,AL,State,Ohio Valley Conference,D1
Samford University,Bulldogs,Homewood,Alabama,AL,Private/Baptist,Southern Conference,D1
University of South Alabama,Jaguars,Mobile,Alabama,AL,State,Sun Belt Conference,D1
Troy University,Trojans,Troy,Alabama,AL,State,Sun Belt Conference,D1
University of Alabama in Huntsville,Chargers,Huntsville,Alabama,AL,,Gulf South Conference,D2
Miles College,Golden Bears,Fairfield,Alabama,AL,,Southern Intercollegiate Athletic Conference,D2
University of Montevallo,Falcons,Montevallo,Alabama,AL,,Peach Belt Conference,D2
University of North Alabama,Lions,Florence,Alabama,AL,,Gulf South Conference,D2
Tuskegee University,Golden Tigers,Tuskegee,Alabama,AL,,Southern Intercollegiate Athletic Conference,D2
University of West Alabama,Tigers,Livingston,Alabama,AL,,Gulf South Conference,D2
Birmingham–Southern College,Panthers,Birmingham,Alabama,AL,,Southern Athletic Association,D3
Huntingdon College,Hawks,Montgomery,Alabama,AL,,USA South Athletic Conference,D3
Faulkner University,Eagles,Montgomery,Alabama,AL,,Southern States Athletic Conference,NAIA I
University of Mobile,Rams,Prichard,Alabama,AL,,Southern States Athletic Conference,NAIA I
Stillman College,Tigers,Tuscaloosa,Alabama,AL,,Association of Independent Institutions,NAIA I
Talladega College,Tornadoes,Talladega,Alabama,AL,,Gulf Coast Athletic Conference,NAIA I
University of Alaska Fairbanks,Nanooks,Fairbanks,Alaska,AK,,Great Northwest Athletic Conference,D2
University of Alaska Anchorage,Seawolves,Anchorage,Alaska,AK,,Great Northwest Athletic Conference,D2
University of Arizona,Wildcats,Tucson,Arizona,AZ,State,Pac-12 Conference,D1
Arizona State University,Sun Devils,Tempe,Arizona,AZ,State,Pac-12 Conference,D1
Northern Arizona University,Lumberjacks,Flagstaff,Arizona,AZ,State,Big Sky Conference,D1
Arizona Christian University,Firestorm,Phoenix,Arizona,AZ,,Golden State Athletic Conference,NAIA I
Benedictine University at Mesa,Redhawks,Mesa,Arizona,AZ,,California Pacific Conference,NAIA II
"Embry–Riddle Aeronautical University, Prescott",Eagles,Prescott,Arizona,AZ,,California Pacific Conference,NAIA II
University of Arkansas,Razorbacks and Razorback women[A 1],Fayetteville,Arkansas,AR,State,Southeastern Conference,D1
University of Arkansas at Little Rock[A 2],Trojans,Little Rock,Arkansas,AR,State,Sun Belt Conference,D1
University of Arkansas at Pine Bluff,Golden Lions and Golden Lady Lions,Pine Bluff,Arkansas,AR,State,Southwestern Athletic Conference,D1
Arkansas State University,Red Wolves,Jonesboro,Arkansas,AR,State,Sun Belt Conference,D1
University of Central Arkansas,Bears and Sugar Bears,Conway,Arkansas,AR,State,Southland Conference,D1
Arkansas Tech University,Wonder Boys & Golden Suns,Russellville,Arkansas,AR,,Great American Conference,D2
University of Arkansas – Fort Smith,Lions,Fort Smith,Arkansas,AR,,Heartland Conference,D2
University of Arkansas at Monticello,Boll Weevils & Cotton Blossoms,Monticello,Arkansas,AR,,Great American Conference,D2
Harding University,Bisons & Lady Bisons,Searcy,Arkansas,AR,,Great American Conference,D2
Henderson State University,Reddies,Arkadelphia,Arkansas,AR,,Great American Conference,D2
Ouachita Baptist University,Tigers,Arkadelphia,Arkansas,AR,,Great American Conference,D2
Southern Arkansas University,Muleriders,Magnolia,Arkansas,AR,,Great American Conference,D2
Hendrix College,Warriors,Conway,Arkansas,AR,,Southern Athletic Association,D3
University of the Ozarks,Eagles,Clarksville,Arkansas,AR,,American Southwest Conference,D3
Central Baptist College,Mustangs,Conway,Arkansas,AR,,American Midwest Conference,NAIA I
Crowley's Ridge College,Pioneers,Paragould,Arkansas,AR,,Association of Independent Institutions,NAIA I
John Brown University,Golden Eagles,Siloam Springs,Arkansas,AR,,Sooner Athletic Conference,NAIA I
Lyon College,Scots,Batesville,Arkansas,AR,,American Midwest Conference,NAIA I
Philander Smith College,Panthers,Little Rock,Arkansas,AR,,Gulf Coast Athletic Conference,NAIA I
Williams Baptist College,Eagles,Walnut Ridge,Arkansas,AR,,American Midwest Conference,NAIA I
Simon Fraser University,Clan,Burnaby,British Columbia,BC,,Great Northwest Athletic Conference,D2
University of British Columbia,Thunderbirds,Vancouver,British Columbia,BC,,Association of Independent Institutions,–
University of Victoria,Vikes,Victoria,British Columbia,BC,,Association of Independent Institutions,–
"University of California, Berkeley",Golden Bears,Berkeley,California,CA,State,Pac-12 Conference,D1
"University of California, Davis",Aggies,Davis,California,CA,State,Big West Conference,D1
"University of California, Irvine",Anteaters,Irvine,California,CA,State,Big West Conference,D1
"University of California, Los Angeles",Bruins,Los Angeles,California,CA,State,Pac-12 Conference,D1
California Polytechnic State University,Mustangs,San Luis Obispo,California,CA,State,Big West Conference,D1
"University of California, Riverside",Highlanders,Riverside,California,CA,State,Big West Conference,D1
"University of California, Santa Barbara",Gauchos,Santa Barbara,California,CA,State,Big West Conference,D1
"California State University, Bakersfield",Roadrunners,Bakersfield,California,CA,State,Western Athletic Conference,D1
"California State University, Fresno",Bulldogs,Fresno,California,CA,State,Mountain West Conference,D1
"California State University, Fullerton",Titans,Fullerton,California,CA,State,Big West Conference,D1
"California State University, Long Beach",49ers[A 3],Long Beach,California,CA,State,Big West Conference,D1
"California State University, Northridge",Matadors,Northridge,California,CA,State,Big West Conference,D1
"California State University, Sacramento",Hornets,Sacramento,California,CA,State,Big Sky Conference,D1
Loyola Marymount University,Lions,Los Angeles,California,CA,Private/Catholic,West Coast Conference,D1
University of the Pacific,Tigers,Stockton,California,CA,Private/Methodist,West Coast Conference,D1
Pepperdine University,Waves,Malibu,California,CA,Private/Churches of Christ,West Coast Conference,D1
Saint Mary's College of California,Gaels,Moraga,California,CA,Private/Catholic,West Coast Conference,D1
University of San Diego,Toreros,San Diego,California,CA,Private/Catholic,West Coast Conference,D1
San Diego State University,Aztecs,San Diego,California,CA,State,Mountain West Conference,D1
University of San Francisco,Dons,San Francisco,California,CA,Private/Catholic,West Coast Conference,D1
San Jose State University,Spartans,San Jose,California,CA,State,Mountain West Conference,D1
Santa Clara University,Broncos,Santa Clara,California,CA,Private/Catholic,West Coast Conference,D1
University of Southern California,Trojans[A 29][A 30],Los Angeles,California,CA,Private/Non-Sectarian,Pac-12 Conference,D1
Stanford University,Cardinal,Palo Alto,California,CA,Private/Non-Sectarian,Pac-12 Conference,D1
Academy of Art University,Urban Knights,San Francisco,California,CA,,Pacific West Conference,D2
Azusa Pacific University,Cougars,Azusa,California,CA,,Pacific West Conference,D2
California Baptist University,Lancers,Riverside,California,CA,,Pacific West Conference,D2
"California State Polytechnic University, Pomona",Broncos,Pomona,California,CA,,California Collegiate Athletic Association,D2
"California State University, Chico",Wildcats,Chico,California,CA,,California Collegiate Athletic Association,D2
"California State University, Dominguez Hills",Toros,Carson,California,CA,,California Collegiate Athletic Association,D2
"California State University, East Bay",Pioneers,Hayward,California,CA,,California Collegiate Athletic Association,D2
"California State University, Los Angeles",Golden Eagles,Los Angeles,California,CA,,California Collegiate Athletic Association,D2
"California State University, Monterey Bay",Otters,Seaside,California,CA,,California Collegiate Athletic Association,D2
"California State University, San Bernardino",Coyotes,San Bernardino,California,CA,,California Collegiate Athletic Association,D2
"California State University, Stanislaus",Warriors,Turlock,California,CA,,California Collegiate Athletic Association,D2
"University of California, San Diego",Tritons,La Jolla,California,CA,,California Collegiate Athletic Association,D2
Dominican University of California,Penguins,San Rafael,California,CA,,Pacific West Conference,D2
Fresno Pacific University,Sunbirds,Fresno,California,CA,,Pacific West Conference,D2
Holy Names University,Hawks,Oakland,California,CA,,Pacific West Conference,D2
Humboldt State University,Lumberjacks,Arcata,California,CA,,California Collegiate Athletic Association,D2
Notre Dame de Namur University,Argonauts,Belmont,California,CA,,Pacific West Conference,D2
Point Loma Nazarene University,Sea Lions,San Diego,California,CA,,Pacific West Conference,D2
San Francisco State University,Gators,San Francisco,California,CA,,California Collegiate Athletic Association,D2
Sonoma State University,Seawolves,Rohnert Park,California,CA,,California Collegiate Athletic Association,D2
California Institute of Technology,Beavers,Pasadena,California,CA,,Southern California Intercollegiate Athletic Conference,D3
California Lutheran University,Kingsmen,Thousand Oaks,California,CA,,Southern California Intercollegiate Athletic Conference,D3
"University of California, Santa Cruz",Banana Slugs,Santa Cruz,California,CA,,Independent,D3
Chapman University,Panthers,Orange,California,CA,,Southern California Intercollegiate Athletic Conference,D3
Claremont–Mudd–Scripps[A 3],Stags and Athenas,Claremont,California,CA,,Southern California Intercollegiate Athletic Conference,D3
University of La Verne,Leopards,La Verne,California,CA,,Southern California Intercollegiate Athletic Conference,D3
Mills College,Cyclones,Oakland,California,CA,,Independent,D3
Occidental College,Tigers,Los Angeles,California,CA,,Southern California Intercollegiate Athletic Conference,D3
Pomona College and Pitzer College,Sagehens,Claremont,California,CA,,Southern California Intercollegiate Athletic Conference,D3
University of Redlands,Bulldogs,Redlands,California,CA,,Southern California Intercollegiate Athletic Conference,D3
Whittier College,Poets,Whittier,California,CA,,Southern California Intercollegiate Athletic Conference,D3
University of Antelope Valley,Pioneers,Lancaster,California,CA,,California Pacific Conference,NAIA II
Biola University,Eagles,La Mirada,California,CA,,Golden State Athletic Conference,NAIA I
California State University Maritime Academy,Keelhaulers,Vallejo,California,CA,,California Pacific Conference,NAIA II
"University of California, Merced",Golden Bobcats,Merced,California,CA,,California Pacific Conference,NAIA II
Hope International University,Royals,Fullerton,California,CA,,Golden State Athletic Conference,NAIA I
La Sierra University,Golden Eagles,Riverside,California,CA,,California Pacific Conference,NAIA II
Marymount California University,Mariners,Rancho Palos Verdes,California,CA,,California Pacific Conference,–
The Master's College,Mustangs,Santa Clarita,California,CA,,Golden State Athletic Conference,NAIA I
Menlo College,Oaks,Atherton,California,CA,,Golden State Athletic Conference,NAIA I
Pacific Union College,Pioneers,Angwin,California,CA,,California Pacific Conference,NAIA II
Providence Christian College,Sea Beggars,Pasadena,California,CA,,California Pacific Conference,–
San Diego Christian College,Hawks,El Cajon,California,CA,,Golden State Athletic Conference,NAIA I
Simpson University,Red Hawks,Redding,California,CA,,California Pacific Conference,NAIA II
Soka University of America,Lions,Aliso Viejo,California,CA,,California Pacific Conference,–
Vanguard University,Lions,Costa Mesa,California,CA,,Golden State Athletic Conference,NAIA I
Westmont College,Warriors,Santa Barbara,California,CA,,Golden State Athletic Conference,NAIA I
William Jessup University,Warriors,Rocklin,California,CA,,Golden State Athletic Conference,NAIA I
University of Colorado Boulder,Buffaloes,Boulder,Colorado,CO,State,Pac-12 Conference,D1
Colorado State University,Rams,Fort Collins,Colorado,CO,State,Mountain West Conference,D1
University of Denver,Pioneers,Denver,Colorado,CO,Private/Non-sectarian,The Summit League,D1
University of Northern Colorado,Bears,Greeley,Colorado,CO,State,Big Sky Conference,D1
United States Air Force Academy (Air Force),Falcons,Colorado Springs,Colorado,CO,Federal academy,Mountain West Conference,D1
Adams State University,Grizzlies,Alamosa,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Colorado Christian University,Cougars,Lakewood,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Colorado Mesa University,Mavericks,Grand Junction,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Colorado School of Mines,Orediggers,Golden,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Colorado State University–Pueblo,ThunderWolves,Pueblo,Colorado,CO,,Rocky Mountain Athletic Conference,D2
University of Colorado Colorado Springs,Mountain Lions,Colorado Springs,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Fort Lewis College,Skyhawks,Durango,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Metropolitan State University of Denver,Roadrunners,Denver,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Regis University,Rangers,Denver,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Western State Colorado University,Mountaineers,Gunnison,Colorado,CO,,Rocky Mountain Athletic Conference,D2
Colorado College[A 4][A 6],Tigers,Colorado Springs,Colorado,CO,,Southern Collegiate Athletic Conference,D3
Johnson & Wales University–Denver,Wildcats,Denver,Colorado,CO,,Association of Independent Institutions,NAIA II
Central Connecticut State University,Blue Devils,New Britain,Connecticut,CT,State,Northeast Conference,D1
University of Connecticut,Huskies,Storrs,Connecticut,CT,State,American Athletic Conference,D1
Fairfield University,Stags,Fairfield,Connecticut,CT,Private/Catholic,Metro Atlantic Athletic Conference,D1
University of Hartford,Hawks,West Hartford,Connecticut,CT,Private/Non-sectarian,America East Conference,D1
Quinnipiac University,Bobcats,Hamden,Connecticut,CT,Private/Non-Sectarian,Metro Atlantic Athletic Conference,D1
Sacred Heart University,Pioneers,Fairfield,Connecticut,CT,Private/Catholic,Northeast Conference,D1
Yale University,Bulldogs,New Haven,Connecticut,CT,Private/Non-Sectarian,Ivy League,D1
University of Bridgeport,Purple Knights,Bridgeport,Connecticut,CT,,East Coast Conference,D2
University of New Haven,Chargers,West Haven,Connecticut,CT,,Northeast-10 Conference,D2
Post University,Eagles,Waterbury,Connecticut,CT,,Central Atlantic Collegiate Conference,D2
Southern Connecticut State University,Owls,New Haven,Connecticut,CT,,Northeast-10 Conference,D2
Albertus Magnus College,Falcons,New Haven,Connecticut,CT,,Great Northeast Athletic Conference,D3
Connecticut College,Camels,New London,Connecticut,CT,,New England Small College Athletic Conference,D3
Eastern Connecticut State University,Warriors,Willimantic,Connecticut,CT,,Little East Conference,D3
Mitchell College,Mariners,New London,Connecticut,CT,,New England Collegiate Conference,D3
University of Saint Joseph,Blue Jays,West Hartford,Connecticut,CT,,Great Northeast Athletic Conference,D3
Trinity College,Bantums,Hartford,Connecticut,CT,,New England Small College Athletic Conference,D3
United States Coast Guard Academy (Coast Guard),Bears,New London,Connecticut,CT,,New England Women's and Men's Athletic Conference,D3
Wesleyan University,Cardinals,Middletown,Connecticut,CT,,New England Small College Athletic Conference,D3
Western Connecticut State University,Colonials,Danbury,Connecticut,CT,,Little East Conference,D3
University of Delaware,Fightin' Blue Hens,Newark,Delaware,DE,Private-state hybrid,Colonial Athletic Association,D1
Delaware State University,Hornets and Lady Hornets,Dover,Delaware,DE,State,Mid-Eastern Athletic Conference,D1
Goldey–Beacom College,Lightning,Pike Creek Valley,Delaware,DE,,Central Atlantic Collegiate Conference,D2
Wilmington University,Wildcats,New Castle,Delaware,DE,,Central Atlantic Collegiate Conference,D2
Wesley College,Wolverines,Dover,Delaware,DE,,Capital Athletic Conference,D3
American University,Eagles,Washington,District of Columbia,DC,Private/Methodist,Patriot League,D1
George Washington University,Colonials,Washington,District of Columbia,DC,Private/Non-sectarian,Atlantic 10 Conference,D1
Georgetown University,Hoyas,Washington,District of Columbia,DC,Private/Catholic,Big East Conference,D1
Howard University,Bison and Lady Bison,Washington,District of Columbia,DC,Private/Non-sectarian,Mid-Eastern Athletic Conference,D1
University of the District of Columbia,Firebirds,Washington,District of Columbia,DC,,East Coast Conference,D2
Catholic University of America,Cardinals,Washington,District of Columbia,DC,,Landmark Conference,D3
Gallaudet University,Bison,Washington,District of Columbia,DC,,North Eastern Athletic Conference,D3
Trinity Washington University,Tigers,Washington,District of Columbia,DC,,Independent,D3
Bethune-Cookman University,Wildcats,Daytona Beach,Florida,FL,Private/Methodist,Mid-Eastern Athletic Conference,D1
University of Central Florida,Knights,Orlando,Florida,FL,State,American Athletic Conference,D1
University of Florida,Gators,Gainesville,Florida,FL,State,Southeastern Conference,D1
Florida A&M University,Rattlers and Lady Rattlers,Tallahassee,Florida,FL,State,Mid-Eastern Athletic Conference,D1
Florida Atlantic University,Owls,Boca Raton,Florida,FL,State,Conference USA,D1
Florida Gulf Coast University,Eagles,Fort Myers,Florida,FL,State,Atlantic Sun Conference,D1
Florida International University,Panthers,Miami,Florida,FL,State,Conference USA,D1
Florida State University,Seminoles,Tallahassee,Florida,FL,State,Atlantic Coast Conference,D1
Jacksonville University,Dolphins,Jacksonville,Florida,FL,Private/Non-Sectarian,Atlantic Sun Conference,D1
University of Miami,Hurricanes[A 14],Coral Gables,Florida,FL,Private/Non-Sectarian,Atlantic Coast Conference,D1
University of North Florida,Ospreys and Lady Ospreys,Jacksonville,Florida,FL,State,Atlantic Sun Conference,D1
University of South Florida,Bulls,Tampa,Florida,FL,State,American Athletic Conference,D1
Stetson University,Hatters,DeLand,Florida,FL,Private/Non-Sectarian,Atlantic Sun Conference,D1
Barry University,Buccaneers,Miami Shores,Florida,FL,,Sunshine State Conference,D2
Eckerd College,Tritons,St. Petersburg,Florida,FL,,Sunshine State Conference,D2
Flagler College,Saints,St. Augustine,Florida,FL,,Peach Belt Conference,D2
Florida Southern College,Moccasins,Lakeland,Florida,FL,,Sunshine State Conference,D2
Florida Institute of Technology,Panthers,Melbourne,Florida,FL,,Sunshine State Conference,D2
Lynn University,Fighting Knights,Boca Raton,Florida,FL,,Sunshine State Conference,D2
Nova Southeastern University,Sharks,Davie,Florida,FL,,Sunshine State Conference,D2
Palm Beach Atlantic University,Sailfish,West Palm Beach,Florida,FL,,Sunshine State Conference,D2
Rollins College,Tars,Winter Park,Florida,FL,,Sunshine State Conference,D2
Saint Leo University,Lions,St. Leo,Florida,FL,,Sunshine State Conference,D2
University of Tampa,Spartans,Tampa,Florida,FL,,Sunshine State Conference,D2
University of West Florida,Argonauts,Pensacola,Florida,FL,,Gulf South Conference,D2
Ave Maria University,Gyrenes,Ave Maria,Florida,FL,,Sun Conference,NAIA II
Edward Waters College,Tigers,Jacksonville,Florida,FL,,Gulf Coast Athletic Conference,NAIA I
Florida Memorial University,Lions,Miami Gardens,Florida,FL,,Sun Conference,NAIA II
Johnson & Wales University–North Miami,Wildcats,North Miami,Florida,FL,,Sun Conference,NAIA II
Keiser University,Seahawks,West Palm Beach,Florida,FL,,Sun Conference,NAIA II
St. Thomas University,Bobcats,Miami Gardens,Florida,FL,,Sun Conference,NAIA II
Southeastern University,Fire,Lakeland,Florida,FL,,Sun Conference,NAIA II
Warner University,Royals,Lake Wales,Florida,FL,,Sun Conference,NAIA II
Webber International University,Warriors,Babson Park,Florida,FL,,Sun Conference,NAIA II
University of Georgia,Bulldogs and Lady Bulldogs[A 7],Athens,Georgia,GA,State,Southeastern Conference,D1
Georgia Institute of Technology,Yellow Jackets,Atlanta,Georgia,GA,State,Atlantic Coast Conference,D1
Georgia Southern University,Eagles and Lady Eagles,Statesboro,Georgia,GA,State,Sun Belt Conference,D1
Georgia State University,Panthers,Atlanta,Georgia,GA,State,Sun Belt Conference,D1
Kennesaw State University,Owls and Lady Owls,Kennesaw,Georgia,GA,State,Atlantic Sun Conference,D1
Mercer University,Bears,Macon,Georgia,GA,Private/Non-Sectarian,Southern Conference,D1
Savannah State University,Tigers and Lady Tigers,Savannah,Georgia,GA,State,Mid-Eastern Athletic Conference,D1
Albany State University,Golden Rams,Albany,Georgia,GA,,Southern Intercollegiate Athletic Conference,D2
Armstrong State University,Pirates,Savannah,Georgia,GA,,Peach Belt Conference,D2
Augusta University,Jaguars,Augusta,Georgia,GA,,Peach Belt Conference,D2
Clark Atlanta University,Panthers,Atlanta,Georgia,GA,,Southern Intercollegiate Athletic Conference,D2
Clayton State University,Lakers,Morrow,Georgia,GA,,Peach Belt Conference,D2
Columbus State University,Cougars,Columbus,Georgia,GA,,Peach Belt Conference,D2
Fort Valley State University,Wildcats,Fort Valley,Georgia,GA,,Southern Intercollegiate Athletic Conference,D2
Georgia College & State University,Bobcats,Milledgeville,Georgia,GA,,Peach Belt Conference,D2
Georgia Southwestern State University,Hurricanes,Americus,Georgia,GA,,Peach Belt Conference,D2
Morehouse College,Maroon Tigers,Atlanta,Georgia,GA,,Southern Intercollegiate Athletic Conference,D2
University of North Georgia,Nighthawks,Dahlonega,Georgia,GA,,Peach Belt Conference,D2
Paine College,Lions,Augusta,Georgia,GA,,Southern Intercollegiate Athletic Conference,D2
Shorter University,Hawks,Rome,Georgia,GA,,Gulf South Conference,D2
Valdosta State University,Blazers,Valdosta,Georgia,GA,,Gulf South Conference,D2
University of West Georgia,Wolves,Carrollton,Georgia,GA,,Gulf South Conference,D2
Young Harris College,Mountain Lions,Young Harris,Georgia,GA,,Peach Belt Conference,D2
Agnes Scott College,Scotties,Decatur,Georgia,GA,,USA South Athletic Conference,D3
Berry College[A 1],Vikings,Mount Berry,Georgia,GA,,Southern Athletic Association,D3
Covenant College[A 1],Scots,Lookout Mountain,Georgia,GA,,USA South Athletic Conference,D3
Emory University,Eagles,Atlanta,Georgia,GA,,University Athletic Association,D3
LaGrange College,Panthers,LaGrange,Georgia,GA,,USA South Athletic Conference,D3
Oglethorpe University,Stormy Petrels,Atlanta,Georgia,GA,,Southern Athletic Association,D3
Piedmont College,Lions,Demorest,Georgia,GA,,USA South Athletic Conference,D3
Wesleyan College,Wolves,Macon,Georgia,GA,,USA South Athletic Conference,D3
Brenau University,Golden Tigers,Gainesville,Georgia,GA,,Southern States Athletic Conference,NAIA I
Brewton–Parker College,Barons,Mount Vernon,Georgia,GA,,Southern States Athletic Conference,NAIA I
College of Coastal Georgia,Mariners,Brunswick,Georgia,GA,,Southern States Athletic Conference,NAIA I
Dalton State College,Roadrunners,Dalton,Georgia,GA,,Southern States Athletic Conference,NAIA I
Georgia Gwinnett College,Grizzlies,Lawrenceville,Georgia,GA,,Association of Independent Institutions,–
Life University,Eagles,Marietta,Georgia,GA,,Mid-South Conference,NAIA I
Middle Georgia State University,Knights,Cochran,Georgia,GA,,Southern States Athletic Conference,NAIA I
Point University,Skyhawks,East Point,Georgia,GA,,Appalachian Athletic Conference,NAIA II
Reinhardt University,Eagles,Waleska,Georgia,GA,,Appalachian Athletic Conference,NAIA II
Savannah College of Art and Design,Bees,Savannah,Georgia,GA,,Sun Conference,–
Savannah College of Art and Design–Atlanta,Bees,Atlanta,Georgia,GA,,Appalachian Athletic Conference,–
Thomas University,Night Hawks,Thomasville,Georgia,GA,,Sun Conference,NAIA II
Truett McConnell University,Bears,Cleveland,Georgia,GA,,Appalachian Athletic Conference,NAIA II
Brigham Young University–Hawai'i,Seasiders,Laie,Hawai'i,HA,,Pacific West Conference,D2
Chaminade University of Honolulu,Silverswords,Honolulu,Hawai'i,HA,,Pacific West Conference,D2
Hawai'i Pacific University,Sharks,Honolulu,Hawai'i,HA,,Pacific West Conference,D2
University of Hawai'i at Hilo,Vulcans,Hilo,Hawai'i,HA,,Pacific West Conference,D2
University of Hawaii at Manoa,Rainbow Warriors and Rainbow Wahine[A 9],Honolulu,Hawaii,HA,State,Big West Conference,D1
Boise State University,Broncos,Boise,Idaho,ID,State,Mountain West Conference,D1
University of Idaho,Vandals,Moscow,Idaho,ID,State,Big Sky Conference,D1
Idaho State University,Bengals,Pocatello,Idaho,ID,State,Big Sky Conference,D1
Northwest Nazarene University,Crusaders,Nampa,Idaho,ID,,Great Northwest Athletic Conference,D2
College of Idaho,Coyotes,Caldwell,Idaho,ID,,Cascade Collegiate Conference,NAIA II
Lewis–Clark State College,Warriors,Lewiston,Idaho,ID,,Frontier Conference,NAIA I
Bradley University,Braves,Peoria,Illinois,IL,Private/Non-Sectarian,Missouri Valley Conference,D1
Chicago State University[A 6],Cougars,Chicago,Illinois,IL,State,Western Athletic Conference,D1
DePaul University,Blue Demons,Chicago,Illinois,IL,Private/Catholic,Big East Conference,D1
Eastern Illinois University,Panthers,Charleston,Illinois,IL,State,Ohio Valley Conference,D1
University of Illinois at Chicago,Flames[A 10],Chicago,Illinois,IL,State,Horizon League,D1
Illinois State University,Redbirds,Normal,Illinois,IL,State,Missouri Valley Conference,D1
University of Illinois at Urbana–Champaign,Fighting Illini,Urbana–Champaign,Illinois,IL,State,Big Ten Conference,D1
Loyola University Chicago,Ramblers[A 12],Chicago,Illinois,IL,Private/Catholic,Missouri Valley Conference,D1
Northern Illinois University,Huskies,DeKalb,Illinois,IL,State,Mid-American Conference,D1
Northwestern University,Wildcats,Evanston,Illinois,IL,Private/Non-Sectarian,Big Ten Conference,D1
Southern Illinois University Carbondale,Salukis,Carbondale,Illinois,IL,State,Missouri Valley Conference,D1
Southern Illinois University Edwardsville,Cougars[A 31],Edwardsville,Illinois,IL,State,Ohio Valley Conference,D1
Western Illinois University,Leathernecks,Macomb,Illinois,IL,State,The Summit League,D1
University of Illinois at Springfield,Prairie Stars,Springfield,Illinois,IL,,Great Lakes Valley Conference,D2
Lewis University,Flyers,Romeoville,Illinois,IL,,Great Lakes Valley Conference,D2
McKendree University,Bearcats,Lebanon,Illinois,IL,,Great Lakes Valley Conference,D2
Quincy University,Hawks,Quincy,Illinois,IL,,Great Lakes Valley Conference,D2
Augustana College,Vikings,Rock Island,Illinois,IL,,College Conference of Illinois and Wisconsin,D3
Aurora University,Spartans,Aurora,Illinois,IL,,Northern Athletics Collegiate Conference,D3
Benedictine University,Eagles,Lisle,Illinois,IL,,Northern Athletics Collegiate Conference,D3
Blackburn College,Beavers,Carlinville,Illinois,IL,,St. Louis Intercollegiate Athletic Conference,D3
University of Chicago,Maroons,Chicago,Illinois,IL,,University Athletic Association,D3
Concordia University Chicago,Cougars,River Forest,Illinois,IL,,Northern Athletics Collegiate Conference,D3
Dominican University,Stars,River Forest,Illinois,IL,,Northern Athletics Collegiate Conference,D3
Elmhurst College,Bluejays,Elmhurst,Illinois,IL,,College Conference of Illinois and Wisconsin,D3
Eureka College,Red Devils,Eureka,Illinois,IL,,St. Louis Intercollegiate Athletic Conference,D3
Greenville College,Panthers,Greenville,Illinois,IL,,St. Louis Intercollegiate Athletic Conference,D3
Illinois College,Blueboys and Lady Blues,Jacksonville,Illinois,IL,,Midwest Conference,D3
Illinois Institute of Technology,Scarlet Hawks,Chicago,Illinois,IL,,Independent,D3
Illinois Wesleyan University,Titans,Bloomington,Illinois,IL,,College Conference of Illinois and Wisconsin,D3
Knox College,Prairie Fire,Galesburg,Illinois,IL,,Midwest Conference,D3
Lake Forest College,Foresters,Lake Forest,Illinois,IL,,Midwest Conference,D3
MacMurray College,Highlanders,Jacksonville,Illinois,IL,,St. Louis Intercollegiate Athletic Conference,D3
Millikin University,Big Blue,Decatur,Illinois,IL,,College Conference of Illinois and Wisconsin,D3
Monmouth College,Scots,Monmouth,Illinois,IL,,Midwest Conference,D3
North Central College,Cardinals,Naperville,Illinois,IL,,College Conference of Illinois and Wisconsin,D3
North Park University,Vikings,Chicago,Illinois,IL,,College Conference of Illinois and Wisconsin,D3
Principia College,Panthers,Elsah,Illinois,IL,,St. Louis Intercollegiate Athletic Conference,D3
Rockford University,Regents,Rockford,Illinois,IL,,Northern Athletics Collegiate Conference,D3
Wheaton College,Thunder,Wheaton,Illinois,IL,,College Conference of Illinois and Wisconsin,D3
Governors State University,Jaguars,University Park,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
Judson University,Eagles,Elgin,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
Lincoln Christian University,Red Lions,Lincoln,Illinois,IL,,Association of Independent Institutions,NAIA II
Lindenwood University–Belleville,Lynx,Belleville,Illinois,IL,,American Midwest Conference,NAIA I
Olivet Nazarene University,Tigers,Bourbonnais,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
Robert Morris University,Eagles,Chicago,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
Roosevelt University,Lakers,Chicago,Illinois,IL,,Chicagoland Collegiate Athletic Conference,NAIA II
